"id";"date";"truck_id";"nbags";"net_weight";"origin";"supplier";"moisture";"nut_count";"outturn";"defective";"price";"year";"month";"day";"avg_wpb"
51;"2015-03-30";41;398;34110;9;84;13.56;179.0;47.17;9.3;"";2015;3;30;85.7035175879397
52;"2015-03-30";42;399;34625;9;75;16.56;193.0;46.99;12.3;"";2015;3;30;86.77944862155388
53;"2015-03-30";43;408;39256;28;112;14.93;186.0;47.43;11.5;"";2015;3;30;96.2156862745098
54;"2015-03-30";44;434;39154;79;116;11.1;192.0;45.14;14.45;"";2015;3;30;90.21658986175115
55;"2015-03-30";45;357;31587;66;119;13.76;174.0;46.46;10.4;"";2015;3;30;88.47899159663865
56;"2015-03-30";46;223;20277;30;18;9.36;186.0;48.05;8.1;"";2015;3;30;90.92825112107623
57;"2015-03-30";18;446;39882;20;114;15.33;170.0;46.37;9.15;"";2015;3;30;89.42152466367713
58;"2015-03-30";47;436;39024;20;114;11.26;186.0;47.08;8.95;"";2015;3;30;89.5045871559633
59;"2015-03-31";48;155;14609;32;36;11.1;185.0;47.96;8.7;"";2015;3;31;94.2516129032258
60;"2015-03-31";19;375;34477;9;75;11.1;185.0;47.87;8.9;"";2015;3;31;91.93866666666666
61;"2015-03-31";49;339;30425;14;93;14.76;175.0;45.58;9.6;"";2015;3;31;89.74926253687316
62;"2015-03-31";27;444;39540;20;54;13.56;175.0;47.08;10.8;"";2015;3;31;89.05405405405405
63;"2015-03-31";50;447;36709;11;14;14.43;184.0;46.11;10.4;"";2015;3;31;82.12304250559284
64;"2015-03-31";51;448;39652;60;118;10.63;178.0;46.72;10.35;"";2015;3;31;88.50892857142857
65;"2015-03-31";52;443;39753;72;15;11.96;149.0;45.06;12.5;"";2015;3;31;89.73589164785552
66;"2015-03-31";53;442;37710;66;119;13.36;186.0;47.1;8.7;"";2015;3;31;85.31674208144797
67;"2015-03-31";54;401;36579;73;62;12.2;193.0;49.81;8.4;"";2015;3;31;91.21945137157107
68;"2015-04-01";55;420;36632;63;62;19.2;204.0;49.02;11.6;"";2015;4;1;87.21904761904761
69;"2015-04-01";56;430;39282;9;75;13.0;189.0;47.08;10.4;"";2015;4;1;91.35348837209303
70;"2015-04-02";57;430;39286;60;86;16.2;167.0;46.11;9.85;"";2015;4;2;91.36279069767441
71;"2015-04-02";23;396;34720;9;84;14.0;173.0;49.02;7.3;"";2015;4;2;87.67676767676768
72;"2015-04-02";58;549;44071;75;14;6.33;193.0;46.52;13.55;"";2015;4;2;80.27504553734062
73;"2015-04-02";59;449;34963;73;62;14.56;190.0;47.08;13.55;"";2015;4;2;77.86859688195992
74;"2015-04-02";60;370;32770;9;84;13.26;162.0;48.84;6.0;"";2015;4;2;88.56756756756756
75;"2015-04-02";61;436;39360;17;86;11.13;171.0;46.9;8.05;"";2015;4;2;90.27522935779817
76;"2015-04-03";62;484;40264;60;86;11.3;175.0;46.02;11.3;"";2015;4;3;83.1900826446281
77;"2015-04-03";63;453;39827;5;9;17.0;190.0;44.08;19.1;"";2015;4;3;87.91832229580574
78;"2015-04-03";9;376;35104;9;84;16.86;179.0;49.02;6.9;"";2015;4;3;93.36170212765957
79;"2015-04-04";64;440;39716;34;86;12.8;182.0;45.76;12.7;"";2015;4;4;90.26363636363637
80;"2015-04-04";65;443;39817;9;75;14.7;189.0;47.08;9.35;"";2015;4;4;89.8803611738149
81;"2015-04-04";66;447;39773;24;127;7.73;185.0;46.64;7.8;"";2015;4;4;88.97762863534676
82;"2015-04-04";67;424;37876;19;114;12.6;161.0;47.52;8.4;"";2015;4;4;89.33018867924528
83;"2015-04-04";68;493;41275;11;14;10.73;185.0;47.26;10.7;"";2015;4;4;83.72210953346855
84;"2015-04-05";23;379;33929;9;84;17.4;179.0;48.57;9.05;"";2015;4;5;89.52242744063325
85;"2015-04-05";12;395;35489;9;75;14.8;178.0;47.08;8.05;"";2015;4;5;89.84556962025316
86;"2015-04-05";69;374;34170;41;52;15.23;176.0;47.17;10.8;"";2015;4;5;91.36363636363636
87;"2015-04-06";70;431;38553;49;66;15.7;187.0;48.05;9.75;"";2015;4;6;89.45011600928075
88;"2015-04-06";71;428;38564;52;66;13.0;161.0;48.14;9.85;"";2015;4;6;90.10280373831776
89;"2015-04-07";72;461;40487;75;14;10.16;181.0;46.9;9.4;"";2015;4;7;87.82429501084599
90;"2015-04-07";73;451;39301;4;115;14.26;191.0;48.4;7.95;"";2015;4;7;87.14190687361419
91;"2015-04-07";74;449;39983;9;75;14.53;185.0;46.99;10.5;"";2015;4;7;89.04899777282851
92;"2015-04-07";9;385;34375;9;84;14.6;186.0;47.08;9.0;"";2015;4;7;89.28571428571429
93;"2015-04-07";75;460;39432;50;109;6.83;178.0;47.52;9.9;"";2015;4;7;85.72173913043478
94;"2015-04-07";45;378;34690;66;119;17.36;177.0;46.99;8.85;"";2015;4;7;91.77248677248677
95;"2015-04-07";5;528;39076;66;119;13.53;201.0;45.05;15.58;"";2015;4;7;74.00757575757575
96;"2015-04-08";14;452;39648;12;113;9.56;191.0;49.01;7.0;"";2015;4;8;87.71681415929204
97;"2015-04-08";76;437;38643;64;114;14.53;191.0;43.82;16.9;"";2015;4;8;88.4279176201373
98;"2015-04-08";1;431;38905;66;119;13.93;187.0;43.12;18.0;"";2015;4;8;90.26682134570765
99;"2015-04-08";77;459;40769;9;75;12.9;185.0;46.55;10.0;"";2015;4;8;88.82135076252723
100;"2015-04-09";61;462;39878;17;51;9.7;175.0;47.6;9.8;"";2015;4;9;86.31601731601732
101;"2015-04-09";23;389;33563;9;84;13.5;183.0;47.52;10.3;"";2015;4;9;86.280205655527
102;"2015-04-09";39;389;34711;3;7;10.33;180.0;46.02;11.05;"";2015;4;9;89.23136246786632
103;"2015-04-09";27;430;40086;19;54;9.93;185.0;47.08;9.1;"";2015;4;9;93.22325581395349
104;"2015-04-09";15;403;38305;29;53;10.2;171.0;45.05;10.1;"";2015;4;9;95.04962779156328
105;"2015-04-09";18;445;40671;19;114;14.9;171.0;46.9;9.4;"";2015;4;9;91.39550561797753
106;"2015-04-09";78;455;41145;60;8;8.3;178.0;46.9;9.6;"";2015;4;9;90.42857142857143
107;"2015-04-10";79;424;39804;72;18;10.93;143.0;47.08;9.35;"";2015;4;10;93.87735849056604
108;"2015-04-10";80;395;37025;9;84;20.56;184.0;46.99;12.4;"";2015;4;10;93.73417721518987
109;"2015-04-10";81;360;31924;24;127;7.96;190.0;48.13;7.35;"";2015;4;10;88.67777777777778
110;"2015-04-10";82;439;39805;27;54;14.73;175.0;48.49;7.45;"";2015;4;10;90.67198177676538
111;"2015-04-10";83;502;39318;60;118;10.75;175.0;44.97;13.5;"";2015;4;10;78.32270916334662
112;"2015-04-10";84;455;39777;60;118;10.23;175.0;48.05;9.2;"";2015;4;10;87.42197802197802
113;"2015-04-10";12;404;35280;9;75;16.8;179.0;48.05;9.7;"";2015;4;10;87.32673267326733
114;"2015-04-11";85;417;35827;9;84;12.96;201.0;47.52;12.9;"";2015;4;11;85.91606714628297
115;"2015-04-11";43;441;39351;82;114;13.2;163.0;47.08;8.95;"";2015;4;11;89.2312925170068
116;"2015-04-11";28;463;40429;9;75;17.0;196.0;49.1;7.3;"";2015;4;11;87.31965442764579
117;"2015-04-13";86;533;41519;66;119;15.36;189.0;43.21;16.85;"";2015;4;13;77.89681050656661
118;"2015-04-13";87;456;40420;20;54;12.9;164.0;46.02;10.45;"";2015;4;13;88.64035087719299
119;"2015-04-13";23;397;35283;9;84;14.73;180.0;48.93;7.8;"";2015;4;13;88.87405541561712
120;"2015-04-13";9;408;35552;9;84;16.8;183.0;46.11;12.8;"";2015;4;13;87.13725490196079
121;"2015-04-14";20;505;42123;11;14;13.26;185.0;45.06;15.1;"";2015;4;14;83.41188118811881
122;"2015-04-14";88;441;39759;60;118;11.23;172.0;48.66;7.0;"";2015;4;14;90.15646258503402
123;"2015-04-15";89;444;36740;1;62;13.26;201.0;45.14;18.5;"";2015;4;15;82.74774774774775
124;"2015-04-15";65;452;40144;9;75;14.26;194.0;47.43;8.35;"";2015;4;15;88.8141592920354
125;"2015-04-15";14;436;39140;82;18;14.2;174.0;48.84;7.4;"";2015;4;15;89.77064220183486
126;"2015-04-15";12;391;34625;9;75;11.73;190.0;48.84;7.7;"";2015;4;15;88.55498721227622
127;"2015-04-16";28;450;40138;9;75;16.1;187.0;48.4;9.3;"";2015;4;16;89.19555555555556
128;"2015-04-16";90;356;31652;60;118;11.5;175.0;48.22;7.35;"";2015;4;16;88.91011235955057
129;"2015-04-16";91;455;40685;42;18;13.83;179.0;46.02;9.0;"";2015;4;16;89.41758241758242
130;"2015-04-17";43;432;38684;20;114;9.46;161.0;47.17;8.4;"";2015;4;17;89.54629629629629
131;"2015-04-17";9;412;35716;9;84;16.9;183.0;48.14;8.25;"";2015;4;17;86.68932038834951
132;"2015-04-17";92;464;39984;43;9;14.16;171.0;47.08;10.2;"";2015;4;17;86.17241379310344
133;"2015-04-17";23;415;34897;9;84;18.36;200.0;47.6;11.7;"";2015;4;17;84.08915662650602
134;"2015-04-17";93;450;38874;9;84;9.93;184.0;46.55;13.2;"";2015;4;17;86.38666666666667
135;"2015-04-17";94;250;17950;66;119;16.26;192.0;47.69;9.5;"";2015;4;17;71.8
136;"2015-04-18";95;465;41231;2;127;19.1;201.0;45.94;16.0;"";2015;4;18;88.66881720430108
137;"2015-04-18";96;454;39458;66;119;8.3;197.0;46.64;13.0;"";2015;4;18;86.91189427312776
138;"2015-04-18";45;364;31668;23;121;12.0;180.0;48.84;7.1;"";2015;4;18;87.0
139;"2015-04-18";72;436;40764;75;14;8.46;204.0;46.82;9.5;"";2015;4;18;93.4954128440367
140;"2015-04-18";97;451;40789;75;14;8.33;202.0;48.05;9.05;"";2015;4;18;90.44124168514412
141;"2015-04-18";19;392;34740;9;75;13.33;187.0;48.05;7.45;"";2015;4;18;88.62244897959184
142;"2015-04-18";98;455;41577;60;66;9.03;180.0;48.22;8.85;"";2015;4;18;91.37802197802198
143;"2015-04-20";52;434;38854;70;18;7.7;166.0;47.17;8.5;"";2015;4;20;89.52534562211981
144;"2015-04-20";99;369;33159;60;118;12.0;174.0;47.52;8.3;"";2015;4;20;89.86178861788618
145;"2015-04-20";63;486;41002;46;115;13.46;186.0;47.08;7.4;"";2015;4;20;84.36625514403292
146;"2015-04-20";100;107;9829;32;35;9.83;180.0;46.11;10.2;"";2015;4;20;91.85981308411215
147;"2015-04-20";21;394;37502;29;53;11.7;184.0;47.08;6.9;"";2015;4;20;95.18274111675127
148;"2015-04-20";89;380;35308;22;53;12.2;179.0;46.99;8.6;"";2015;4;20;92.91578947368421
149;"2015-04-20";101;434;37766;80;62;14.76;200.0;48.75;9.85;"";2015;4;20;87.0184331797235
150;"2015-04-21";49;419;36221;31;14;10.26;188.0;48.05;7.5;"";2015;4;21;86.44630071599045
151;"2015-04-21";12;398;35270;9;75;12.03;189.0;47.87;6.8;"";2015;4;21;88.61809045226131
152;"2015-04-21";15;437;39643;69;53;8.33;175.0;46.82;9.33;"";2015;4;21;90.7162471395881
